year,value,subseries_id,source_id,units,month
1846,1.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1846,1.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1846,1.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1846,2.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1846,3.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1846,4.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1847,6.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1847,10.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1847,9.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1847,11.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1847,12.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1847,14.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1847,12.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1847,11.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1847,11.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1847,9.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1847,6.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1847,4.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1848,3.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1848,2.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1848,3.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1848,2.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1848,1.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1848,1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1848,-1.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1848,-2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1848,-2.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1848,-2.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1848,-4.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1848,-5.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1849,-4.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1849,-4.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1849,-1.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1849,-2.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1849,-2.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1849,-2.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1849,-0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1849,-1.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1849,-0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1849,-0.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1849,-0.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1849,0.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1850,0.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1850,-0.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1850,0.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1850,1.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1850,2.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1850,2.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1850,3.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1850,3.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1850,4.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1850,5.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1850,6.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1850,8.2,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1851,10.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1851,9.6,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1851,9.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1851,9.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1851,7.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1851,7.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
